TPC (Tan Dai Hung Plastic) HSX: 06/16~06/30. Ngo Thi Thanh Huyen (Member of the Board of Directors) announced to sell 209,200 shares, decreasing total shares to 0 shares (0%);
REE (Refrigeration Electrical Engineering) HSX: 06/15~07/14. PLATINUM VICTORY PTE. LTD. (Internal shareholder) announced to buy 20,485,510 shares, increasing total shares to 280,242,276 shares (44.99%);
NAB (Nam A Bank) HSX: 06/1206/30. HA HUY CUONG (Deputy General Director) announced to buy 1,000,000 shares, increasing total shares to 13,112,448 shares (0,607%);
NAB (Nam A Bank) HSX: 06/1206/30. HOANG VIET CUONG (Deputy General Director) announced to buy 1,000,000 shares, increasing total shares to 13,112,448 shares (0,607%);
NAB (Nam A Bank) HSX: 06/1206/30. NGUYEN VINH TUYEN (Deputy General Director) announced to buy 1,000,000 shares, increasing total shares to 14,347,029 shares (0,665%);
NAB (Nam A Bank) HSX: 06/1206/30. VO HOANG HAI (Deputy General Director) announced to buy 1,000,000 shares, increasing total shares to 13,579,448 shares (0,629%);
NAB (Nam A Bank) HSX: 06/1206/30. LE ANH TU (Deputy General Director) announced to buy 1,000,000 shares, increasing total shares to 14,308,343 shares (0,663%);
NAB (Nam A Bank) HSX: 06/1206/30. HO NGUYEN THUY VY (Deputy General Director) announced to buy 1,000,000 shares, increasing total shares to 12,915,025 shares (0,598%);
NAB (Nam A Bank) HSX: 06/1206/30. HUYNH THANH PHONG (Deputy General Director) announced to buy 1,000,000 shares, increasing total shares to 7,351,325 shares (0,341%);
NAB (Nam A Bank) HSX: 06/1206/30. LAM KIM KHOI (Deputy General Director) announced to buy 1,000,000 shares, increasing total shares to 11,523,661 shares (0,534%);
NAB (Nam A Bank) HSX: 06/1206/30. DO THI HONG TRAM (Deputy General Director) announced to buy 1,000,000 shares, increasing total shares to 7,247,803 shares (0,336%);
NAB (Nam A Bank) HSX: 06/1206/30. TRAN HUY KHANG (Chief of the Office of the Board of Directors and Person in charge of Corporate Governance) announced to buy 3,621,930 shares, increasing total shares to 9,204,455 shares (0,426%);
