news_date	news_time	news_source	news_category	news_corp_select	news_poli_select	news_titles	news_urls		
16/06/2026	14:56	FireAnt	Khác		TAKE	INCOSEC mời các tổ chức, nhà đầu tư tham gia xử lý tồn tại và thoái vốn	https://fireant.vn/bai-viet/incosec-moi-cac-to-chuc-nha-dau-tu-tham-gia-xu-ly-ton-tai-va-thoai-von/40479086		https://fireant.vn/bai-viet/incosec-moi-cac-to-chuc-nha-dau-tu-tham-gia-xu-ly-ton-tai-va-thoai-von/40479086
16/06/2026	14:55	Baochinhphu	Khác			Việt Nam chủ động, tích cực thúc đẩy quan hệ đối tác ASEAN–Nga	https://baochinhphu.vn/viet-nam-chu-dong-tich-cuc-thuc-day-quan-he-doi-tac-aseannga-102260616144946794.htm		
16/06/2026	14:54	Baochinhphu	Khác			Quốc hội khóa XVI trở thành nhiệm kỳ kiến tạo thể chế phát triển	https://baochinhphu.vn/quoc-hoi-khoa-xvi-tro-thanh-nhiem-ky-kien-tao-the-che-phat-trien-102260616144903777.htm		
16/06/2026	14:51	FireAnt	Chứng Khoán	TAKE		RCC: Cổ phiếu RCC bị hạn chế giao dịch, doanh nghiệp đối mặt áp lực dòng tiền và nợ vay	https://fireant.vn/bai-viet/rcc-co-phieu-rcc-bi-han-che-giao-dich-doanh-nghiep-doi-mat-ap-luc-dong-tien-va-no-vay/40479008	https://fireant.vn/bai-viet/rcc-co-phieu-rcc-bi-han-che-giao-dich-doanh-nghiep-doi-mat-ap-luc-dong-tien-va-no-vay/40479008	
16/06/2026	14:50	Baochinhphu	Thế Giới			Phó Thủ tướng Thường trực Phạm Gia Túc: Cổng TTĐT Chính phủ là cầu nối hữu hiệu giữa Chính phủ với người dân, DN, xã hội, bạn bè quốc tế	https://baochinhphu.vn/pho-thu-tuong-thuong-truc-pham-gia-tuc-truyen-thong-chinh-sach-phai-trung-hon-hay-hon-sau-sac-hon-kip-thoi-hon-102260616144453571.htm		
16/06/2026	14:48	TinNhanhCK	Chứng Khoán	TAKE		Chương Dương (CDC) tiếp tục chào bán gần 1,9 triệu cổ phiếu “ế” với giá chiết khấu 46,5%	https://www.tinnhanhchungkhoan.vn/chuong-duong-cdc-tiep-tuc-chao-ban-gan-19-trieu-co-phieu-e-voi-gia-chiet-khau-465-post392486.html	https://www.tinnhanhchungkhoan.vn/chuong-duong-cdc-tiep-tuc-chao-ban-gan-19-trieu-co-phieu-e-voi-gia-chiet-khau-465-post392486.html	
16/06/2026	14:46	TinNhanhCK	Chứng Khoán	TAKE		Vietbank (VBB) chốt quyền phát hành thêm hơn 107 triệu cổ phiếu, tỷ lệ 10%	https://www.tinnhanhchungkhoan.vn/vietbank-vbb-chot-quyen-phat-hanh-them-hon-107-trieu-co-phieu-ty-le-10-post392485.html	https://www.tinnhanhchungkhoan.vn/vietbank-vbb-chot-quyen-phat-hanh-them-hon-107-trieu-co-phieu-ty-le-10-post392485.html	
16/06/2026	14:42	Nhandan	Khác			61 tác phẩm báo chí xuất sắc đoạt Giải Báo chí tỉnh Đắk Lắk lần thứ VI năm 2025	https://nhandan.vn/61-tac-pham-bao-chi-xuat-sac-doat-giai-bao-chi-tinh-dak-lak-lan-thu-vi-nam-2025-post969451.html		
16/06/2026	14:38	Viettimes	Khác			Vietnam Airlines ra mắt chuỗi trải nghiệm mùa Sen	https://viettimes.vn/vietnam-airlines-ra-mat-chuoi-trai-nghiem-mua-sen-post201581.html		
16/06/2026	14:34	Nhandan	Thế Giới			Đoàn đại biểu dự Đại hội đại biểu toàn quốc Hội Cựu chiến binh Việt Nam lần thứ VIII vào Lăng viếng Chủ tịch Hồ Chí Minh	https://nhandan.vn/doan-dai-bieu-du-dai-hoi-dai-bieu-toan-quoc-hoi-cuu-chien-binh-viet-nam-lan-thu-viii-vao-lang-vieng-chu-tich-ho-chi-minh-post969446.html		
16/06/2026	14:34	Nhandan	Khác			Bộ trưởng Tư pháp tiếp Ủy viên Bộ Chính trị, Phó Thủ tướng, Bộ trưởng Tư pháp Lào Khamphan Phommatha	https://nhandan.vn/bo-truong-tu-phap-tiep-uy-vien-bo-chinh-tri-pho-thu-tuong-bo-truong-tu-phap-lao-khamphan-phommatha-post969403.html		
16/06/2026	14:29	TinNhanhCK	Chứng Khoán	TAKE		DIC Corp (DIG) còn hơn 1.080 tỷ đồng chưa giải ngân sau đợt phát hành cuối năm 2025	https://www.tinnhanhchungkhoan.vn/dic-corp-dig-con-hon-1080-ty-dong-chua-giai-ngan-sau-dot-phat-hanh-cuoi-nam-2025-post392483.html	https://www.tinnhanhchungkhoan.vn/dic-corp-dig-con-hon-1080-ty-dong-chua-giai-ngan-sau-dot-phat-hanh-cuoi-nam-2025-post392483.html	
16/06/2026	14:28	BaoDautu	Khác	TAKE		DICERA và SG Holdings đồng hành phát triển chuỗi dự án, hướng tới những chuẩn mực toàn diện	https://baodautu.vn/dicera-va-sg-holdings-dong-hanh-phat-trien-chuoi-du-an-huong-toi-nhung-chuan-muc-toan-dien-d621551.html	https://baodautu.vn/dicera-va-sg-holdings-dong-hanh-phat-trien-chuoi-du-an-huong-toi-nhung-chuan-muc-toan-dien-d621551.html	
16/06/2026	14:27	BaoDautu	Chứng Khoán	TAKE		F88 chốt giá chào bán ra công chúng 71.000 đồng/cổ phiếu, dự kiến huy động hơn 1.560 tỷ đồng	https://baodautu.vn/f88-chot-gia-chao-ban-ra-cong-chung-71000-dongco-phieu-du-kien-huy-dong-hon-1560-ty-dong-d621572.html	https://baodautu.vn/f88-chot-gia-chao-ban-ra-cong-chung-71000-dongco-phieu-du-kien-huy-dong-hon-1560-ty-dong-d621572.html	
16/06/2026	14:26	Nhandan	Khác			Làm sâu sắc hơn nữa mối quan hệ hợp tác tư pháp Việt Nam-Lào	https://nhandan.vn/lam-sau-sac-hon-nua-moi-quan-he-hop-tac-tu-phap-viet-nam-lao-post969405.html		
16/06/2026	14:22	BaoDautu	Bất Động Sản			Quảng Trị đón sóng đầu tư mới vào bất động sản công nghiệp	https://baodautu.vn/quang-tri-don-song-dau-tu-moi-vao-bat-dong-san-cong-nghiep-d615595.html		
16/06/2026	14:21	FireAnt	Doanh Nghiệp			Lãi suất cao buộc doanh nghiệp phải thay đổi tư duy vay vốn	https://fireant.vn/bai-viet/lai-suat-cao-buoc-doanh-nghiep-phai-thay-doi-tu-duy-vay-von/40477991		
16/06/2026	14:20	Vneconomy	Chứng Khoán			Nghị quyết 10-NQ/TW: Phấn đấu MSCI nâng hạng trước năm 2030, nhiều nhóm ngành được lợi	https://vneconomy.vn/nghi-quyet-10-nqtw-phan-dau-msci-nang-hang-truoc-nam-2030-nhieu-nhom-nganh-duoc-loi.htm		
16/06/2026	14:20	Vneconomy	Tài Chính-Ngân Hàng			Giá vàng phân hóa mạnh, chiều mua tăng cao hơn bán ở nhiều doanh nghiệp	https://vneconomy.vn/gia-vang-phan-hoa-manh-chieu-mua-tang-cao-hon-ban-o-nhieu-doanh-nghiep.htm		
16/06/2026	14:17	BaoDautu	Thế Giới			Gia Lai "chốt" mục tiêu tăng trưởng 2 con số trong 5 năm tới	https://baodautu.vn/gia-lai-chot-muc-tieu-tang-truong-2-con-so-trong-5-nam-toi-d621432.html		
16/06/2026	14:16	Vneconomy	Chứng Khoán			Lạm phát và lãi suất tăng, người Nhật bắt đầu đưa tiền nhàn rỗi vào đầu tư	https://vneconomy.vn/lam-phat-va-lai-suat-tang-nguoi-nhat-bat-dau-dua-tien-nhan-roi-vao-dau-tu.htm		
16/06/2026	14:16	FireAnt	Khác			Thị trường ngày 16/6: Lo ngại nguồn cung trở lại, dầu hồi phục, vàng vượt 4.300 USD, nhôm chạm đáy hơn 2 tháng	https://fireant.vn/bai-viet/thi-truong-ngay-166-lo-ngai-nguon-cung-tro-lai-dau-hoi-phuc-vang-vuot-4300-usd-nhom-cham-day-hon-2-thang/40477293		
